Pk,Tm,Player,College,Yrs,G,FG%,3P%,FT%,MP2,PTS3,TRB4,AST5,WS,WS/48,BPM,VORP,Year
1,CHI,Derrick Rose,Memphis,12,646,0.457,0.311,0.829,32,18.5,3.3,5.5,42.8,0.099,1.3,17.6,2008
1,LAC,Blake Griffin,Oklahoma,11,668,0.495,0.334,0.696,34.2,20.9,8.6,4.3,77.2,0.162,3.6,32.1,2009
1,WAS,John Wall,Kentucky,10,613,0.431,0.323,0.779,35.6,19.1,4.3,9.1,44.1,0.097,2.4,24.1,2010
1,CLE,Kyrie Irving,Duke,10,582,0.47,0.391,0.881,33.9,22.8,3.8,5.7,68.7,0.167,4.6,32.7,2011
1,NOH,Anthony Davis,Kentucky,9,564,0.514,0.312,0.799,34.4,23.9,10.2,2.3,86.8,0.215,6.2,40,2012
1,CLE,Anthony Bennett,UNLV,4,151,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3,2013
1,CLE,Andrew Wiggins,Kansas,7,525,0.446,0.341,0.731,35.4,19.5,4.4,2.3,18.9,0.049,-1.8,1,2014
1,MIN,Karl-Anthony Towns,Kentucky,6,408,0.527,0.394,0.835,34.3,22.9,11.6,3,55.8,0.191,4.8,23.8,2015
1,PHI,Ben Simmons,LSU,4,275,0.56,0.147,0.597,33.9,15.9,8.1,7.7,30.4,0.156,3.7,13.4,2016
1,PHI,Markelle Fultz,Washington,4,113,0.447,0.265,0.695,25.6,10.9,3.3,4.6,3.1,0.052,-2.2,-0.2,2017
1,PHO,Deandre Ayton,Arizona,3,178,0.588,0.189,0.756,31.1,16,10.6,1.7,17.4,0.151,0.5,3.5,2018
2,MIA,Michael Beasley,Kansas State,11,609,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-1.7,0.9,2008
2,MEM,Hasheem Thabeet,UConn,5,224,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-2.7,-0.4,2009
2,PHI,Evan Turner,Ohio State,10,705,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5,2010
2,MIN,Derrick Williams,Arizona,7,428,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-1.6,0.8,2011
2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6,2012
2,ORL,Victor Oladipo,Indiana,8,454,0.438,0.347,0.791,33,17.5,4.6,4,24.6,0.079,0.9,10.9,2013
2,MIL,Jabari Parker,Duke,7,298,0.494,0.321,0.741,28.3,14.5,5.6,2,13.5,0.077,-0.8,2.5,2014
2,LAL,D'Angelo Russell,Ohio State,6,359,0.421,0.36,0.771,29,17.6,3.6,5.3,10,0.046,0.4,6.4,2015
2,LAL,Brandon Ingram,Duke,5,313,0.461,0.367,0.756,32.6,17.8,5,3.5,14.8,0.07,-0.7,3.4,2016
2,LAL,Lonzo Ball,UCLA,4,217,0.397,0.353,0.56,32.1,11.7,5.8,6.4,9.2,0.063,0.8,4.8,2017
2,SAC,Marvin Bagley III,Duke,3,118,0.5,0.314,0.663,25.5,14.5,7.5,1,5.3,0.085,-2.1,-0.1,2018
3,MIN,O.J. Mayo,USC,8,547,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.9,4.7,2008
3,OKC,James Harden,Arizona State,12,877,0.444,0.363,0.858,34.4,25.1,5.5,6.5,142,0.226,6.9,68.1,2009
3,NJN,Derrick Favors,Georgia Tech,11,751,0.534,0.205,0.664,24.7,10.8,7.2,1.1,58.8,0.152,1,13.8,2010
3,UTA,Enes Kanter,,10,713,0.548,0.286,0.776,22,11.5,7.9,0.9,51.4,0.157,-0.2,7.3,2011
3,WAS,Bradley Beal,Florida,9,605,0.456,0.377,0.82,34.7,22,4.1,4,47.4,0.108,1.8,19.9,2012
3,WAS,Otto Porter,Georgetown,8,441,0.479,0.402,0.793,26.5,10.9,5,1.5,31.1,0.128,1.6,10.6,2013
3,PHI,Joel Embiid,Kansas,5,260,0.487,0.329,0.808,30.6,24.8,11.3,3.1,31.6,0.191,4.9,13.8,2014
3,PHI,Jahlil Okafor,Duke,6,247,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2.1,-0.1,2015
3,BOS,Jaylen Brown,California,5,337,0.473,0.378,0.699,27.7,15.1,4.7,1.8,18.7,0.096,-0.4,3.9,2016
3,BOS,Jayson Tatum,Duke,4,289,0.458,0.396,0.84,32.7,19.4,6.3,2.7,25.5,0.129,2.1,9.8,2017
3,ATL,Luka Dončić,,3,199,0.457,0.331,0.735,33.3,25.7,8.4,7.7,21.4,0.155,6.3,13.8,2018
4,SEA,Russell Westbrook,UCLA,13,943,0.437,0.305,0.79,34.7,23.2,7.4,8.5,104.8,0.154,4.7,55.3,2008
4,SAC,Tyreke Evans,Memphis,10,594,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.8,13.1,2009
4,MIN,Wesley Johnson,Syracuse,9,609,0.404,0.337,0.741,22.1,7,3.2,1.1,10.7,0.038,-1.6,1.2,2010
4,CLE,Tristan Thompson,Texas,10,673,0.518,0.257,0.609,27.7,9.3,8.7,1,46,0.118,-1.6,1.7,2011
4,CLE,Dion Waiters,Syracuse,8,419,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4,2012
4,CHA,Cody Zeller,Indiana,8,467,0.518,0.227,0.729,22.7,8.7,6,1.4,31,0.14,-0.5,4.1,2013
4,ORL,Aaron Gordon,Arizona,7,453,0.45,0.321,0.695,28.5,12.7,6.3,2.5,23.6,0.088,0,6.4,2014
4,NYK,Kristaps Porziņģis,,5,286,0.441,0.361,0.809,31.1,18.7,7.8,1.5,21.5,0.116,1.3,7.4,2015
4,PHO,Dragan Bender,,4,187,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-4,-1.9,2016
4,PHO,Josh Jackson,Kansas,4,240,0.418,0.298,0.676,24.5,12.3,4.2,2,-1.7,-0.014,-3.8,-2.7,2017
4,MEM,Jaren Jackson Jr.,Michigan State,3,126,0.48,0.374,0.765,26.9,15.4,4.7,1.2,7.5,0.106,0.1,1.8,2018
5,MEM,Kevin Love,UCLA,13,738,0.442,0.37,0.828,31.7,18,11,2.4,83,0.17,3.3,31.3,2008
5,MIN,Ricky Rubio,,10,631,0.391,0.325,0.843,30.4,11,4.2,7.6,40.3,0.101,0.6,12.8,2009
5,SAC,DeMarcus Cousins,Kentucky,10,606,0.46,0.334,0.737,31,20.4,10.6,3.1,45.2,0.116,2.6,21.6,2010
5,TOR,Jonas Valančiūnas,,9,621,0.566,0.358,0.78,25.6,12.9,9.2,1,60.1,0.181,1,11.9,2011
5,SAC,Thomas Robinson,Kansas,5,313,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,2012
5,PHO,Alex Len,Maryland,8,531,0.506,0.332,0.685,19.1,7.8,6,0.8,20.7,0.098,-1.9,0.2,2013
5,UTA,Dante Exum,,6,245,0.407,0.305,0.764,18.6,5.7,1.8,2.1,3.1,0.032,-3.3,-1.5,2014
5,ORL,Mario Hezonja,,5,330,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2,2015
5,MIN,Kris Dunn,Providence,5,231,0.42,0.305,0.727,24.1,8.2,3.3,4.1,3.7,0.032,-1.9,0.1,2016
5,SAC,De'Aaron Fox,Kentucky,4,263,0.458,0.326,0.718,31.3,18.2,3.4,6.4,13.2,0.077,0.1,4.5,2017
5,DAL,Trae Young,Oklahoma,3,204,0.431,0.343,0.861,33.1,24.1,3.9,8.9,16.3,0.116,2.2,7,2018
6,NYK,Danilo Gallinari,,12,662,0.427,0.382,0.876,30.4,15.9,4.8,2,60.5,0.144,2,20,2008
6,MIN,Jonny Flynn,Syracuse,3,163,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4,-1.9,2009
6,GSW,Ekpe Udoh,Baylor,7,384,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,-1.4,0.8,2010
6,WAS,Jan Veselý,,3,162,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-2.6,-0.4,2011
6,POR,Damian Lillard,Weber State,9,682,0.439,0.375,0.893,36.3,24.7,4.2,6.6,92.3,0.179,4.8,42.6,2012
6,NOH,Nerlens Noel,Kentucky,7,425,0.549,0.2,0.653,22.4,7.6,6.2,1.1,26.8,0.135,0.9,7,2013
6,BOS,Marcus Smart,Oklahoma State,7,449,0.376,0.32,0.777,29.4,10.2,3.6,4.2,24,0.087,-0.3,5.6,2014
6,SAC,Willie Cauley-Stein,Kentucky,6,402,0.545,0.167,0.612,22.6,9.1,6,1.5,23.1,0.122,-0.1,4.4,2015
6,NOP,Buddy Hield,Oklahoma,5,387,0.435,0.406,0.863,28.9,16,4.3,2.5,15.2,0.065,0.4,6.7,2016
6,ORL,Jonathan Isaac,Florida State,3,136,0.435,0.33,0.797,25.8,9.3,5.4,1.1,6.7,0.091,0.2,2,2017
6,ORL,Mo Bamba,Texas,3,155,0.471,0.325,0.646,15.3,6.4,5.2,0.7,5.9,0.12,-0.3,1,2018
7,LAC,Eric Gordon,Indiana,13,692,0.425,0.368,0.812,32.6,16.6,2.5,2.8,34.9,0.074,-0.4,8.9,2008
7,GSW,Stephen Curry,Davidson,12,762,0.477,0.433,0.907,34.3,24.2,4.6,6.5,112.2,0.206,6.5,56.3,2009
7,DET,Greg Monroe,Georgetown,9,632,0.514,0.059,0.704,27.7,13.2,8.3,2.1,49.7,0.136,1.4,15.2,2010
7,SAC,Bismack Biyombo,,10,702,0.527,0,0.566,20.2,5.1,6.1,0.6,27.6,0.093,-2.7,-2.4,2011
7,GSW,Harrison Barnes,UNC,9,670,0.452,0.377,0.8,31.6,13.9,5.1,1.8,38.8,0.088,-1,5.5,2012
7,SAC,Ben McLemore,Kansas,8,492,0.416,0.363,0.776,22.9,8.9,2.4,1,8.2,0.035,-3.1,-3,2013
7,LAL,Julius Randle,Kentucky,7,446,0.485,0.342,0.741,30.5,17.4,9.2,3.3,28.3,0.1,0.3,7.9,2014
7,DEN,Emmanuel Mudiay,,5,300,0.401,0.323,0.744,23.9,11,2.9,3.8,-0.2,-0.001,-3.2,-2.2,2015
7,DEN,Jamal Murray,Kentucky,5,345,0.446,0.367,0.878,30.1,16.3,3.6,3.8,20.8,0.096,0.2,5.9,2016
