ID,active_from,active_to,birth_date,college,height (in),name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,NBA Games Played,fg%,ppg,effective pct,height/weight,3pt %,Success
3,1991,2001,9-Mar-69,Louisiana State University,73,Mahmoud Abdul-Rauf,G,162,2.3,0.354,0.8,0.472,0.442,6,13.6,0.905,1.8,2,586,14.6,7.2,0.372,2.7,0.54,21.9,0.474,10.4,0.863,6.4,5.5,64,29,0.041619318,0.0884,0.14551495,0.062933333,0.090123457,0.0354,0.463991058
5,1997,2008,11-Dec-76,University of California,81,Shareef Abdur-Rahim,F,225,0.6,0.297,0.2,0.479,0.472,6.5,13.9,0.81,4.8,6,830,18.1,0.8,0.381,0.3,0.53,14.2,0.518,7.4,0.683,8.9,6.1,28,21.1,0.058948864,0.0944,0.180398671,0.063866667,0.072,0.0297,0.499314201
10,2006,2009,21-Jan-83,Pepperdine University,77,Alex Acker,G,185,0.8,0.32,0.3,0.413,0.37,1.1,3.1,0.5,0.2,0.3,30,2.7,3.3,0.411,1.4,0.52,11.2,0.457,5.1,0.823,3.5,2.9,88,14.5,0.002130682,0.074,0.026910299,0.055066667,0.083243243,0.032,0.273350891
14,2013,2018,6-Oct-90,Baylor University,79,Quincy Acy,F,240,1.5,0.355,0.5,0.516,0.446,1.8,4,0.761,0.9,1.2,325,5,0.1,0.429,0,0.6,6,0.602,3.6,0.708,3.6,2.5,139,9.8,0.023082386,0.0892,0.049833887,0.0688,0.065833333,0.0355,0.332249607
19,2015,2016,8-Jul-94,"University of California, Los Angeles",77,Jordan Adams,G,209,0.8,0.385,0.3,0.457,0.402,1.2,2.9,0.607,0.5,0.9,32,3.2,4.3,0.331,1.4,0.53,11.6,0.467,5.4,0.839,5,4.2,69,16.4,0.002272727,0.0804,0.031893688,0.060933333,0.073684211,0.0385,0.287683959
26,2008,2018,15-Oct-85,"University of California, Los Angeles",77,Arron Afflalo,G,210,2.9,0.386,1.1,0.514,0.449,3.9,8.7,0.825,1.8,2.2,761,10.8,5.4,0.373,2,0.55,10.9,0.457,5,0.781,3.6,2.8,104,14.8,0.054048295,0.0898,0.107641196,0.068533333,0.073333333,0.0386,0.431956158
27,2007,2011,9-Feb-84,Michigan State University,77,Maurice Ager,G,202,0.5,0.25,0.1,0.368,0.339,0.8,2.3,0.566,0.4,0.6,82,2.1,4.3,0.38,1.6,0.52,9.6,0.441,4.2,0.775,3.2,2.5,124,12.5,0.005823864,0.0678,0.020930233,0.049066667,0.076237624,0.025,0.244858387
29,2008,2012,27-May-84,Missouri State University,74,Blake Ahearn,G,190,2.5,0.298,0.7,0.364,0.273,1.1,4.1,0.97,1.7,1.7,19,4.6,5.2,0.408,2.1,0.53,8.9,0.423,3.7,0.946,3.6,3.4,129,13,0.001349432,0.0546,0.045847176,0.048533333,0.077894737,0.0298,0.258024678
34,2013,2013,10-Feb-86,"Washington State University, California State University, Fullerton",71,Josh Akognon,G,185,0.7,0.5,0.3,0.625,0.5,0.7,1.3,,0,0,3,1.7,7.6,0.372,2.8,0.52,12.3,0.408,5,0.871,2.7,2.3,119,15.2,0.000213068,0.1,0.016943522,0.083333333,0.076756757,0.05,0.32724668
36,1987,1991,11-Dec-63,Duke University,80,Mark Alarie,F,217,0.4,0.252,0.1,0.483,0.475,3.2,6.7,0.775,1,1.3,325,7.5,0.1,0,0,0.55,11.3,0.55,6.2,0.797,4.5,3.6,133,16.1,0.023082386,0.095,0.074750831,0.0644,0.073732719,0.0252,0.356165936
43,1996,2005,22-Jun-73,University of Virginia,73,Cory Alexander,G,185,2.2,0.354,0.8,0.468,0.389,1.9,4.9,0.756,0.9,1.1,307,5.5,5,0.336,1.7,0.5,12.6,0.427,5.4,0.693,3.8,2.7,85,15.1,0.021803977,0.0778,0.054817276,0.0624,0.078918919,0.0354,0.331140172
44,2001,2003,27-Apr-77,"University of Virginia, California State University, Fresno",77,Courtney Alexander,G,205,0.6,0.339,0.2,0.435,0.422,3.5,8.3,0.813,1.8,2.2,187,9,4.1,0.362,1.5,0.5,15.8,0.456,7.2,0.767,3.9,3,112,18.9,0.01328125,0.0844,0.089700997,0.058,0.075121951,0.0339,0.354404198
46,2009,2010,26-Dec-86,West Virginia University,80,Joe Alexander,F,230,0.7,0.34,0.2,0.442,0.41,1.5,3.7,0.698,0.9,1.3,67,4.2,2.1,0.295,0.6,0.48,10,0.447,4.5,0.765,3.3,2.5,82,12.1,0.004758523,0.082,0.041860465,0.058933333,0.069565217,0.034,0.291117539
48,1988,1991,23-Nov-64,Indiana University,74,Steve Alford,G,183,0.6,0.324,0.2,0.487,0.459,1.7,3.8,0.87,0.8,0.9,169,4.4,5.9,0.53,3.1,0.65,13.5,0.533,7.2,0.898,4.8,4.3,125,19.5,0.012002841,0.0918,0.043853821,0.064933333,0.080874317,0.0324,0.325864312
51,2018,2018,21-Apr-98,University of Texas at Austin,82,Jarrett Allen,F-C,234,0.2,0.333,0.1,0.59,0.584,3.2,5.5,0.772,1.6,2.1,70,8.1,0.2,0,0,0.56,9.6,0.566,5.4,0.564,4.5,2.5,33,13.4,0.004971591,0.1168,0.080730897,0.078666667,0.07008547,0.0333,0.384554625
52,1996,1997,28-Jan-73,University of Pennsylvania,76,Jerome Allen,G,184,1.1,0.317,0.3,0.411,0.35,1,2.8,0.63,0.6,0.9,117,2.9,4.8,0.343,1.6,0.49,11.1,0.417,4.6,0.722,3.8,2.8,109,13.7,0.008309659,0.07,0.028903654,0.0548,0.082608696,0.0317,0.276322009
53,2018,2018,15-Jan-93,University of Arizona,75,Kadeem Allen,G,192,0.5,0,0,0.143,0.143,0.1,0.9,0.75,0.2,0.3,16,0.4,1.8,0.4,0.7,0.51,6.6,0.459,3,0.725,3.1,2.3,68,9.1,0.001136364,0.0286,0.003986711,0.019066667,0.078125,0,0.130914741
57,1989,1990,26-Jan-65,Florida State University,80,Randy Allen,F,220,0.1,0,0,0.442,0.442,1.6,3.7,0.533,0.3,0.6,70,3.6,0.1,0,0,0.49,10.5,0.491,5.1,0.615,3.6,2.2,115,12.5,0.004971591,0.0884,0.035880399,0.058933333,0.072727273,0,0.260912596
58,1997,2014,20-Jul-75,University of Connecticut,77,Ray Allen,G,205,5.7,0.4,2.3,0.53,0.452,6.6,14.6,0.894,3.4,3.8,1300,18.9,5.1,0.448,2.3,0.57,14.3,0.487,7,0.779,3.5,2.8,101,19,0.092329545,0.0904,0.188372093,0.070666667,0.075121951,0.04,0.556890256
